date,ticker,action,close,entry_price,current_pnl_pct,current_leverage,days_held,decision_reason
1980-12-18,SP500,ENTRY,154.5198103960025,154.5198103960025,0.0,1.0,0,Mom=43.2% | Price>SMA200 | GoldenCross | Breakout>154.68
1980-12-23,CRUDE,ENTRY,51.06448124477692,51.06448124477692,0.0,1.0,0,Mom=37.5% | Price>SMA200 | GoldenCross | Breakout>49.87
1981-01-01,COPPER,ENTRY,1.377973478909423,1.377973478909423,0.0,1.0,0,Mom=43.2% | Price>SMA200 | GoldenCross | Breakout>1.37
1981-01-06,COPPER,EXIT,1.31609303264601,1.377973478909423,-0.0449068485065383,1.0,5,TRAILING STOP: Price 1.32 vs stop 1.32
1981-01-07,SP500,EXIT,146.83273945486204,154.5198103960025,-0.0497481256380012,1.0,20,TRAILING STOP: Price 146.83 vs stop 148.89
1981-01-08,CRUDE,LEVERAGE_UP,53.214797375547455,51.06448124477692,0.0421098203360379,1.5,16,PnL=4.2% | Days=16 | Signals agree -> 1.5x
1981-01-13,CRUDE,LEVERAGE_DOWN,53.96747662051795,51.06448124477692,0.0568496008375285,1.0,21,Pullback 2.0% > 2%
1981-01-14,CRUDE,LEVERAGE_UP,53.25927974778564,51.06448124477692,0.0429809223457687,1.5,22,PnL=4.3% | Days=22 | Signals agree -> 1.5x
1981-01-15,CRUDE,LEVERAGE_DOWN,52.563042137934296,51.06448124477692,0.0293464430975817,1.0,23,Pullback 4.6% > 2%
1981-01-16,CRUDE,EXIT,52.25144268109101,51.06448124477692,0.0232443649162791,1.0,24,TRAILING STOP: Price 52.25 vs stop 52.38
1981-02-09,CRUDE,ENTRY,54.93635412318691,54.93635412318691,0.0,1.0,0,Mom=53.9% | Price>SMA200 | GoldenCross | Breakout>55.37
1981-02-12,SP500,ENTRY,143.7428598241945,143.7428598241945,0.0,1.0,0,Mom=31.5% | Price>SMA200 | GoldenCross | Breakout>144.41
1981-02-25,CRUDE,EXIT,51.91902221221311,54.93635412318691,-0.054924138289335,1.0,16,TRAILING STOP: Price 51.92 vs stop 52.11
1981-03-18,SP500,LEVERAGE_UP,148.68349815405867,143.7428598241945,0.0343713651996824,1.5,34,PnL=3.4% | Days=34 | Signals agree -> 1.5x
1981-03-20,SP500,LEVERAGE_DOWN,145.50224461974207,143.7428598241945,0.0122398065385604,1.0,36,Pullback 2.1% > 2%
