Date,Holdings,UniverseSize,Equity
2004-02-18,XLF XLV,16,0.999
2004-02-19,TLT XLF,16,0.9972359417218933
2004-02-20,XLF TLT,16,0.9944074362489932
2004-02-23,XLF XLE,16,0.9939300696124436
2004-02-24,XLF XLE,16,0.9906426839864783
2004-02-25,XOM XLF,16,0.9859995411126916
2004-02-26,XLF XOM,16,0.9919827705372397
2004-02-27,XLF XLV,16,0.9916292076672275
2004-03-01,XLE XLF,16,0.9903298217841051
2004-03-02,XLE XOM,16,0.9954629623634585
2004-03-03,XLE XLF,16,0.9908099457723581
2004-03-04,XLE XLF,16,0.9952774513788278
2004-03-05,XLE XLF,16,0.9931236705501258
2004-03-08,XLE XLF,16,1.0055257872052992
2004-03-09,TLT XLE,16,0.9990759658795011
2004-03-10,TLT XLE,16,0.9986397745442933
2004-03-11,TLT XOM,16,0.9873188379139055
2004-03-12,TLT XOM,16,0.9750724852466544
2004-03-15,TLT XLE,16,0.977011451462748
2004-03-16,TLT XLE,16,0.9771982618099444
2004-03-17,TLT XOM,16,0.9851442946429911
2004-03-18,TLT XLE,16,0.978498492043236
2004-03-19,TLT XLE,16,0.9809892263043053
2004-03-22,TLT XLE,16,0.9715274622889121
2004-03-23,TLT XLE,16,0.9702076296535165
2004-03-24,TLT XLE,16,0.9657054002826343
2004-03-25,TLT C,16,0.9559231609181819
2004-03-26,TLT C,16,0.9529071626510822
2004-03-29,TLT C,16,0.9512420581389521
2004-03-30,C TLT,16,0.956014806804565
2004-03-31,C TLT,16,0.9645187053169562
2004-04-01,C TLT,16,0.9653643594807525
2004-04-02,C TLT,16,0.9615150699396944
2004-04-05,C EEM,16,0.9497589966692258
2004-04-06,C IWM,16,0.9471091950416194
2004-04-07,EEM C,16,0.9486715401457503
2004-04-08,EEM C,16,0.9468387459324292
2004-04-12,EEM C,16,0.9438820511327186
2004-04-13,EEM C,16,0.945634883153427
2004-04-14,C XOM,16,0.9229936646236708
2004-04-15,XOM C,16,0.9271562171374619
2004-04-16,XOM XLE,16,0.9299222749214394
2004-04-19,XOM XLE,16,0.9326180643271026
2004-04-20,XOM XLE,16,0.9294043764906897
2004-04-21,XOM,16,0.904710491845102
2004-04-22,QQQ XOM,16,0.9070200771991666
2004-04-23,QQQ XLE,16,0.9256480290672942
2004-04-26,MSFT EEM,16,0.9235232325295684
2004-04-27,MSFT XLV,16,0.9132617687419784
2004-04-28,XLV MSFT,16,0.9092877834838772
2004-04-29,XLE XLV,16,0.8956244947733321
2004-04-30,MSFT XLV,16,0.8844872547771278
2004-05-03,XLV MSFT,16,0.8785490753547749
2004-05-04,XLV XOM,16,0.8853060123331042
2004-05-05,XLV XOM,16,0.8812564391429725
2004-05-06,XLV XOM,16,0.8882307567494582
2004-05-07,XOM XLV,16,0.8824850561816671
2004-05-10,XOM XLV,16,0.8666003621533701
2004-05-11,XLV XOM,16,0.8660244350079587
2004-05-12,XOM XLV,16,0.8650135964021567
2004-05-13,XLV XOM,16,0.8696059223873951
2004-05-14,XLV MSFT,16,0.8709703261289655
2004-05-17,XOM XLV,16,0.8591121639466476
2004-05-18,XOM XLE,16,0.8552154323522804
2004-05-19,XOM XLE,16,0.8470018919132779
