date,ticker,asset_name,action,position_status,direction,close,high_20d,low_20d,sma_50,sma_200,mom_12m,mom_12m_5d_ago,atr_20,atr_20_10d_ago,volatility_60d,entry_date,entry_price,days_held,current_pnl_pct,peak_price,peak_pnl_pct,current_leverage,position_size_pct,signal_momentum,signal_ma_cross,signal_price_vs_ma,signal_breakout,signal_combined,decision,decision_reason,entry_criteria_met,leverage_up_criteria_met,leverage_down_criteria_met,exit_criteria_met,portfolio_equity,portfolio_cash,portfolio_positions,portfolio_leverage
1980-12-18,SP500,S&P 500 Index,ENTRY,OPEN,LONG,154.5198103960025,154.6840448905445,146.9781312923372,152.01129002950444,135.83405484306473,0.4315342819714889,,2.117341194169357,1.9490280017221564,0.1560621421256167,1980-12-18,154.5198103960025,0,0.0,154.5198103960025,0.0,1.0,2.0,1,1,1,0,0.75,OPEN LONG POSITION,Mom=43.2% | Price>SMA200 | GoldenCross | Breakout>154.68,True,False,False,False,100000.0,98000.0,1,1.0
1980-12-19,SP500,S&P 500 Index,HOLD,OPEN,LONG,153.88414184961243,154.6840448905445,146.9781312923372,152.1096327654592,136.0567759105962,0.4248480969984436,,2.117135043245453,2.0483052130907327,0.15652158673028926,1980-12-18,154.5198103960025,1,-0.004113832037205954,154.5198103960025,0.0,1.0,1.991936225746819,1,1,1,0,0.75,MAINTAIN POSITION,"PnL=-0.4%, Days=0",False,False,False,False,99991.77233592559,98000.0,1,1.0
1980-12-22,SP500,S&P 500 Index,HOLD,OPEN,LONG,152.71385651512338,154.6840448905445,146.9781312923372,152.18861175496832,136.27081207848707,0.39114405165590305,,2.088862913560443,2.024310411171953,0.15317592482381553,1980-12-18,154.5198103960025,4,-0.011687523277765016,154.5198103960025,0.0,1.0,1.977087098474182,1,1,1,0,0.75,MAINTAIN POSITION,"PnL=-1.2%, Days=0",False,False,False,False,99976.62495344447,98000.0,1,1.0
1980-12-23,SP500,S&P 500 Index,HOLD,OPEN,LONG,151.7176011995388,154.6840448905445,146.9781312923372,152.22899508863475,136.479385878861,0.38376175501427245,,2.0294789061088805,2.066147802594011,0.15375165577066907,1980-12-18,154.5198103960025,5,-0.01813495104143748,154.5198103960025,0.0,1.0,1.9644425993243742,1,1,1,0,0.75,MAINTAIN POSITION,"PnL=-1.8%, Days=0",False,False,False,False,99963.73009791713,98000.0,1,1.0
1980-12-23,CRUDE,Crude Oil Futures,ENTRY,OPEN,LONG,51.06448124477692,51.243445425379896,43.18235325566046,46.25671832627037,39.52462735045438,0.3750684018721204,,0.9203682050156832,0.8542800437363361,0.2950265038426328,1980-12-23,51.06448124477692,0,0.0,51.06448124477692,0.0,1.0,2.0,1,1,1,0,0.75,OPEN LONG POSITION,Mom=37.5% | Price>SMA200 | GoldenCross | Breakout>49.87,True,False,False,False,99963.73009791713,96000.72539804166,2,1.0
1980-12-24,SP500,S&P 500 Index,HOLD,OPEN,LONG,151.88747696203436,154.6840448905445,148.25369199323285,152.2982339220803,136.6895148454957,0.3710298352706931,,1.8762484558548096,2.111060463410331,0.15355696680681205,1980-12-18,154.5198103960025,6,-0.017035572508288827,154.5198103960025,0.0,1.0,1.966598897745768,1,1,1,0,0.75,MAINTAIN POSITION,"PnL=-1.7%, Days=0",False,False,False,False,99965.92885498342,96000.72539804166,2,1.0
1980-12-24,CRUDE,Crude Oil Futures,HOLD,OPEN,LONG,51.74459878202061,51.91129489836283,43.18235325566046,46.32625193378699,39.60028700267756,0.4286920917708734,,0.9039663486117799,0.8905433281482857,0.2858473409100236,1980-12-23,51.06448124477692,1,0.013318798520316973,51.74459878202061,0.013318798520316973,1.0,2.0260533409614636,1,1,1,0,0.75,MAINTAIN POSITION,"PnL=1.3%, Days=0.013318798520316973",False,False,False,False,99992.55679059369,96000.72539804166,2,1.0
1980-12-25,SP500,S&P 500 Index,HOLD,OPEN,LONG,150.73426112926296,154.6840448905445,148.25369199323285,152.31026517662568,136.88035509579652,0.35272948152039896,0.4315342819714889,1.8721935397433611,2.0541910565144663,0.15090972658226207,1980-12-18,154.5198103960025,7,-0.024498795701586435,154.5198103960025,0.0,1.0,1.951438938770439,1,1,1,0,0.75,MAINTAIN POSITION,"PnL=-2.4%, Days=0",False,False,False,False,99977.6303442071,96000.72539804166,2,1.0
1980-12-25,CRUDE,Crude Oil Futures,HOLD,OPEN,LONG,51.099079391350486,51.91129489836283,43.18235325566046,46.39152870165033,39.6700983044487,0.3744700615138863,0.3218301547658182,0.9224092084631597,0.8550609980293895,0.2797743135939423,1980-12-23,51.06448124477692,2,0.0006775383932271628,51.74459878202061,0.013318798520316973,1.0,2.0015828014760118,1,1,1,0,0.75,MAINTAIN POSITION,"PnL=0.1%, Days=0.013318798520316973",False,False,False,False,99952.35699389825,96000.72539804166,2,1.0
1980-12-26,SP500,S&P 500 Index,HOLD,OPEN,LONG,151.89725009068033,154.6840448905445,148.25369199323285,152.361782296915,137.0748217996391,0.3682110386087962,0.4248480969984436,1.9307866274860372,2.0705435146315536,0.1515107501866113,1980-12-18,154.5198103960025,8,-0.016972324122072665,154.5198103960025,0.0,1.0,1.9666962993176946,1,1,1,0,0.75,MAINTAIN POSITION,"PnL=-1.7%, Days=0",False,False,False,False,99967.40993705728,96000.72539804166,2,1.0
